m/z	i
3726.41 2302
3726.78 4264
3727.15 4065
3727.52 3744
3727.89 4746
3728.26 8793
3728.63 14321
3729.00 19270
3729.37 21575
3729.73 23093
3730.10 22340
3730.47 19080
3730.84 17128
3731.21 16382
3731.58 15723
3731.95 13670
3732.32 9243
3732.69 6154
3733.06 5395
3733.43 4953
3733.80 3670
3734.17 3944
3734.54 7291
3734.91 10290
3735.28 9597
3735.65 9841
3736.02 10844
3736.39 12036
3736.76 14907
3737.13 18498
3737.50 22834
3737.87 24580
3738.24 23315
3738.61 22655
3738.98 22489
3739.35 19175
3739.72 14495
3740.09 6594
3740.46 -1143
3740.83 -6467
3741.20 -9642
3741.57 -9951
3741.94 -10075
3742.31 -10670
3742.68 -15083
3743.05 -14415
3743.42 -10352
3743.79 -8280
3744.16 -8237
3744.53 -4315
3744.90 1168
3745.27 3590
3745.64 6379
3746.01 10668
3746.38 14710
3746.75 14718
3747.12 13905
3747.49 13777
3747.86 12711
3748.23 9759
3748.60 5935
3748.97 4383
3749.34 5716
3749.71 8777
3750.08 11046
3750.45 10824
3750.82 8318
3751.19 6444
3751.56 5697
3751.93 8718
3752.30 9756
3752.67 11612
3753.04 13003
3753.41 13768
3753.79 13174
3754.16 10611
3754.53 9486
3754.90 7941
3755.27 6275
3755.64 5240
3756.01 6069
3756.38 5628
3756.75 6061
3757.12 8627
3757.49 10916
3757.86 14198
3758.23 16167
3758.61 16691
3758.98 16277
3759.35 15146
3759.72 15187
3760.09 15934
3760.46 16828
3760.83 16385
3761.20 13970
3761.57 11907
3761.94 7211
3762.31 2221
3762.69 10
3763.06 -1866
3763.43 -2415
3763.80 -4956
3764.17 -7017
3764.54 -8537
3764.91 -10336
3765.28 -13867
3765.65 -10442
3766.03 -5683
3766.40 -3832
3766.77 513
3767.14 3590
3767.51 6837
3767.88 10575
3768.25 12656
3768.62 11805
3769.00 10189
3769.37 9392
3769.74 7760
3770.11 6078
3770.48 6837
3770.85 7838
3771.22 9971
3771.60 13438
3771.97 15023
3772.34 14468
3772.71 12649
3773.08 11749
3773.45 12495
3773.83 15540
3774.20 19344
3774.57 24787
3774.94 24429
3775.31 22523
3775.68 22969
3776.06 21994
3776.43 17367
3776.80 14055
3777.17 10416
3777.54 6877
3777.91 5880
3778.29 4252
3778.66 2301
3779.03 1618
3779.40 87
3779.77 -862
3780.15 -56
3780.52 890
3780.89 3124
3781.26 4823
3781.63 9264
3782.01 12949
3782.38 14741
3782.75 17181
3783.12 17731
3783.49 17604
3783.87 15945
